hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,251,2017,March,10,10,0,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,92.24401940344663,0,0,Canceled,2025-01-04
Resort Hotel,1,17,2017,May,18,5,2,3,1,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,70.46060810509665,0,1,Canceled,2025-08-26
City Hotel,1,280,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,84.4379697452003,0,0,Canceled,2024-11-13
Resort Hotel,0,1,2017,April,14,8,2,5,2,0.0,0,BB,FRA,Direct,TA/TO,1,0,0,F,F,0,No Deposit,,,0,Transient,138.57439455933124,0,2,Check-Out,2025-06-13
City Hotel,0,70,2016,April,16,15,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,107.89112947839904,0,0,Check-Out,2024-12-30
City Hotel,1,115,2017,June,24,16,1,2,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.68776727609455,0,0,Canceled,2025-01-13
City Hotel,1,71,2017,April,17,26,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.96549356917956,0,0,Canceled,2025-03-26
City Hotel,1,22,2017,February,8,20,1,3,2,1.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.22779332838833,0,2,Canceled,2024-12-11
Resort Hotel,0,0,2015,November,48,26,0,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,32.02980756415746,0,0,Check-Out,2025-09-08
Resort Hotel,0,234,2016,May,22,26,2,5,2,1.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,2,No Deposit,156.0,,0,Transient-Party,79.4956712927167,0,4,Check-Out,2025-01-03
City Hotel,1,13,2016,November,48,20,2,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.13088559122858,0,1,Canceled,2024-09-29
City Hotel,0,52,2015,August,35,26,0,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,65.22147719610825,0,0,Check-Out,2025-09-02
Resort Hotel,0,0,2017,January,5,30,1,0,2,0.0,0,BB,PRT,Direct,TA/TO,1,0,0,A,A,0,No Deposit,,,0,Transient,43.18558253932099,0,1,Check-Out,2025-06-11
Resort Hotel,1,34,2015,July,28,11,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,137.61573469345277,0,0,Canceled,2025-07-29
City Hotel,0,0,2017,January,1,5,0,2,2,0.0,0,BB,GTM,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,71.88956373322299,0,0,Check-Out,2024-11-01
City Hotel,0,185,2017,March,11,18,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,72.08342680454307,0,0,Check-Out,2025-07-10
City Hotel,1,269,2015,July,28,11,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,67.84556025310481,0,0,Canceled,2025-08-28
Resort Hotel,0,0,2016,October,44,26,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,65.05215474222608,1,1,Check-Out,2025-02-15
City Hotel,0,82,2016,June,24,5,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.67856812570074,0,3,Check-Out,2025-07-28
City Hotel,1,88,2016,November,45,5,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,71.66454116060717,0,0,Canceled,2024-12-24
City Hotel,0,8,2017,July,29,21,0,2,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,105.44611613510601,0,1,Check-Out,2025-06-20
City Hotel,0,39,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,129.48603629560648,0,0,Check-Out,2024-11-23
City Hotel,0,22,2017,February,8,19,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,82.31816533660432,0,0,Check-Out,2024-11-22
City Hotel,0,103,2017,May,19,11,0,3,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,147.15431499204374,0,1,Check-Out,2025-08-21
City Hotel,1,57,2017,July,30,23,2,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9.0,,0,Transient,202.38101939992083,0,0,Canceled,2024-10-09
